,count,count_per,favorite_count_sum,retweet_count_sum,rating_num_mean,rating_den_mean,favorite_count_mean,retweet_count_mean
Dandie Dinmont,7,0.326797385621,24019,6955,9.57142857143,10.0,3431.28571429,993.571428571
Irish Terrier,6,0.280112044818,37605,7744,10.0,10.0,6267.5,1290.66666667
Bedlington Terrier,6,0.280112044818,126324,44650,10.3333333333,10.0,21054.0,7441.66666667
Redbone,6,0.280112044818,19574,6593,9.66666666667,10.0,3262.33333333,1098.83333333
Norwich Terrier,5,0.233426704015,53519,15541,9.6,10.0,10703.8,3108.2
Ibizan Hound,5,0.233426704015,18714,7793,10.0,10.0,3742.8,1558.6
Miniature Schnauzer,5,0.233426704015,16891,4624,9.6,10.0,3378.2,924.8
Bull Mastiff,5,0.233426704015,30085,7365,10.4,10.0,6017.0,1473.0
Lhasa,5,0.233426704015,13160,4084,10.4,10.0,2632.0,816.8
Walker Hound,5,0.233426704015,32595,13101,9.0,10.0,6519.0,2620.2
Gordon Setter,4,0.186741363212,21897,9846,11.75,10.0,5474.25,2461.5
Bluetick,4,0.186741363212,19930,5952,10.5,10.0,4982.5,1488.0
Welsh Springer Spaniel,4,0.186741363212,20055,4374,9.5,10.0,5013.75,1093.5
Rhodesian Ridgeback,4,0.186741363212,16032,3049,9.75,10.0,4008.0,762.25
Keeshond,4,0.186741363212,19466,6827,10.25,10.0,4866.5,1706.75
Irish Setter,4,0.186741363212,41942,13322,11.75,10.0,10485.5,3330.5
Saluki,4,0.186741363212,95523,20286,12.5,10.0,23880.75,5071.5
Weimaraner,4,0.186741363212,47532,10458,11.0,10.0,11883.0,2614.5
Giant Schnauzer,4,0.186741363212,37274,11499,11.5,10.0,9318.5,2874.75
Tibetan Mastiff,4,0.186741363212,48253,16558,12.25,10.0,12063.25,4139.5
Scottish Deerhound,4,0.186741363212,9122,3451,9.75,10.0,2280.5,862.75
Tibetan Terrier,4,0.186741363212,7272,2206,9.25,10.0,1818.0,551.5
Briard,3,0.140056022409,28250,8775,12.3333333333,10.0,9416.66666667,2925.0
Komondor,3,0.140056022409,29633,6160,11.0,10.0,9877.66666667,2053.33333333
Curly-Coated Retriever,3,0.140056022409,13700,3589,10.3333333333,10.0,4566.66666667,1196.33333333
Greater Swiss Mountain Dog,3,0.140056022409,31282,6491,11.3333333333,10.0,10427.3333333,2163.66666667
Brabancon Griffon,3,0.140056022409,2629,854,10.0,10.0,876.333333333,284.666666667
Irish Water Spaniel,3,0.140056022409,48728,13325,11.3333333333,10.0,16242.6666667,4441.66666667
Leonberg,3,0.140056022409,44352,11449,11.3333333333,10.0,14784.0,3816.33333333
Toy Terrier,3,0.140056022409,9445,2465,10.3333333333,10.0,3148.33333333,821.666666667
Afghan Hound,3,0.140056022409,51434,17676,9.66666666667,10.0,17144.6666667,5892.0
Cairn,3,0.140056022409,16202,3354,11.0,10.0,5400.66666667,1118.0
Black-And-Tan Coonhound,2,0.093370681606,33726,8225,10.5,10.0,16863.0,4112.5
Wire-Haired Fox Terrier,2,0.093370681606,16919,5772,11.5,10.0,8459.5,2886.0
Appenzeller,2,0.093370681606,14552,2877,11.0,10.0,7276.0,1438.5
Groenendael,2,0.093370681606,2288,551,10.0,10.0,1144.0,275.5
Australian Terrier,2,0.093370681606,22066,6074,11.5,10.0,11033.0,3037.0
Sussex Spaniel,2,0.093370681606,8047,2451,11.0,10.0,4023.5,1225.5
Japanese Spaniel,1,0.046685340803,1347,461,5.0,10.0,1347.0,461.0
Irish Wolfhound,1,0.046685340803,1518,811,11.0,10.0,1518.0,811.0
Bouvier Des Flandres,1,0.046685340803,17826,4430,13.0,10.0,17826.0,4430.0
Silky Terrier,1,0.046685340803,7245,1853,12.0,10.0,7245.0,1853.0
Standard Schnauzer,1,0.046685340803,2023,915,12.0,10.0,2023.0,915.0
Entlebucher,1,0.046685340803,2657,695,11.0,10.0,2657.0,695.0
Clumber,1,0.046685340803,7243,1852,27.0,10.0,7243.0,1852.0
Scotch Terrier,1,0.046685340803,3582,1235,9.0,10.0,3582.0,1235.0
