,count,count_per,favorite_count_sum,retweet_count_sum,rating_num_mean,rating_den_mean,favorite_count_mean,retweet_count_mean
not_defined,1802,84.126984127,15324184,4697720,12.4023307436,10.5693673696,8503.98668147,2606.94783574
pupper,224,10.4575163399,1593158,543738,10.8080357143,10.0,7112.3125,2427.40178571
doggo,84,3.92156862745,1472466,531492,11.7619047619,10.0,17529.3571429,6327.28571429
puppo,23,1.07376283847,502427,151511,12.0,10.0,21844.6521739,6587.43478261
floofer,9,0.420168067227,98663,36898,11.8888888889,10.0,10962.5555556,4099.77777778
