,count,count_per,favorite_count_sum,retweet_count_sum,rating_num_mean,rating_den_mean,favorite_count_mean,retweet_count_mean
Sunday,274,12.79178338,2371771,723797,13.0072992701,10.9124087591,8656.09854015,2641.59489051
Monday,356,16.6199813259,3044433,953858,15.452247191,10.1123595506,8551.77808989,2679.37640449
Tuesday,319,14.8926237162,2845248,863390,11.4545454545,10.6896551724,8919.27272727,2706.55172414
Wednesday,319,14.8926237162,3197782,1023370,10.6269592476,10.0940438871,10024.3949843,3208.05642633
Thursday,302,14.0989729225,2506778,772863,11.5033112583,10.4635761589,8300.58940397,2559.14900662
Friday,298,13.9122315593,2582356,825072,12.1812080537,11.1610738255,8665.62416107,2768.69798658
Saturday,274,12.79178338,2442530,799009,10.6861313869,10.0,8914.34306569,2916.09124088
